id,lifeSat,age,emplStat55,healthSat,livtog
26001,8,58,1,8,1
26202,8,55,3,6,0
26202,7,56,3,7,0
26202,7,57,3,8,0
26202,7,58,3,8,0
26202,7,59,3,8,0
26202,7,60,3,7,0
26701,8,55,1,8,0
26701,9,56,1,9,0
26701,9,57,1,9,0
26701,9,58,1,8,0
26701,8,59,1,9,0
26701,8,60,1,9,0
26801,5,55,1,5,0
27401,8,55,2,7,1
27401,8,56,2,8,1
27401,7,57,2,6,1
27401,7,58,2,7,1
27401,8,59,2,8,1
27401,8,60,2,9,1
27501,6,55,1,7,1
27501,6,56,1,4,1
27501,5,57,1,4,1
27501,5,58,1,3,1
27501,4,59,1,4,1
27501,4,60,1,3,1
27702,6,55,1,4,1
27702,7,56,1,7,1
27702,6,57,1,7,1
27702,7,58,1,6,1
27702,7,59,1,7,1
27702,7,60,1,7,1
27801,7,55,1,7,1
27801,6,56,1,7,1
27801,6,57,1,6,1
27801,7,58,1,5,1
27801,7,59,1,6,1
27801,7,60,1,5,1
28601,7,55,1,8,1
28601,9,56,1,8,1
28601,8,57,1,8,1
28601,4,58,1,9,1
28601,5,59,1,3,1
28601,6,60,1,6,1
28701,8,55,1,8,1
28701,8,56,1,8,1
28701,7,57,1,4,1
28701,8,58,1,6,1
28701,4,60,1,5,1
28801,8,55,1,7,1
28801,8,56,1,7,1
28801,7,57,1,3,1
28801,8,58,1,7,1
28801,8,59,1,6,1
28901,7,55,1,8,0
28901,6,56,1,9,0
28901,10,57,1,10,0
28901,8,58,1,8,0
28901,10,59,1,9,0
29901,8,55,1,9,1
29901,8,56,1,7,1
29901,7,57,1,5,1
29901,9,58,1,8,1
29901,9,59,1,8,1
29901,8,60,1,7,1
30701,2,55,2,1,1
30701,0,56,2,10,1
30801,9,55,1,7,1
31101,1,55,2,1,1
31101,5,56,2,5,1
31101,3,57,2,2,1
31101,4,58,2,3,1
31101,3,59,2,1,1
31101,6,60,2,4,1
31901,8,55,1,7,1
31901,8,56,1,8,1
31901,3,57,1,7,1
31901,8,58,1,7,1
31901,8,59,1,7,1
31901,8,60,1,7,1
32001,7,55,1,8,1
32001,8,56,1,9,1
32001,9,57,1,9,1
32001,8,58,1,8,1
32001,7,59,1,8,1
32001,8,60,1,10,1
32501,8,55,1,8,1
32501,7,56,1,8,1
32501,8,57,1,8,1
32501,8,58,1,8,1
32501,8,59,1,8,1
32501,8,60,1,7,1
33001,7,55,3,6,1
33001,8,56,3,6,1
33001,8,57,3,5,1
33001,8,58,3,6,1
33001,8,59,3,7,1
33001,8,60,3,7,1
33401,5,55,1,5,1
